,Name,Genre,Revenue,Director,Tomatometer,Audience
142,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
143,Ferrari,Drama,$18.5M,Michael Mann,72,74
144,May December,"Drama, Romance",,Todd Haynes,9,66
145,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
146,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
147,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
148,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
149,Upgraded,"Romance, Comedy",,Carlson Young,77,67
150,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
151,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
152,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
153,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
154,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
155,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
156,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
157,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
158,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
159,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
160,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
161,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
162,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
163,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,71
164,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,74
165,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,74
166,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
167,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
168,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,96
169,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
170,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
171,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
172,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
173,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
174,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
175,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
176,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
177,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
178,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
179,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
180,Code 8,Sci-fi,,Jeff Chan,81,62
181,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
182,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
183,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
184,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
185,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
186,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
187,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
188,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
189,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
190,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
191,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
192,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
193,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
194,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
195,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
196,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
197,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
198,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
199,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
200,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
201,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
202,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
203,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
204,Dune,"Sci-fi, Adventure",,David Lynch,37,65
205,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
206,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
207,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
208,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
209,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
210,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
211,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
212,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
213,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
214,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
215,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
216,Ferrari,Drama,$18.5M,Michael Mann,72,74
217,May December,"Drama, Romance",,Todd Haynes,9,66
218,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
219,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
220,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
221,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
222,Upgraded,"Romance, Comedy",,Carlson Young,77,67
223,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
224,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
225,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
226,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
227,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
228,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
229,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
230,Scrambled,Comedy,$422.5K,Leah McKendrick,94,91
231,Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",$185.5M,Joel Crawford,95,94
232,Reptile,"Crime, Drama",,Grant Singer,45,7
233,Orion and the Dark,"Kids & family, Comedy, Animation",,Sean Charmatz,91,61
234,The Boys in the Boat,"History, Drama, Biography, Sports",$52.5M,George Clooney,58,97
235,Blade Runner 2049,"Sci-fi, Mystery & thriller",$91.5M,Denis Villeneuve,88,88
236,The Killer,"Mystery & thriller, Action, Adventure, Crime",,David Fincher,86,61
237,"Lover, Stalker, Killer","Crime, Documentary",,Sam Hobkinson,1,83
238,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
239,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
240,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
241,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
242,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
243,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
244,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
245,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
246,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
247,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
248,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
249,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
250,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
251,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
252,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
253,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
254,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
255,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
256,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
257,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
258,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
259,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
260,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
261,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,71
262,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,74
263,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,74
264,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
265,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
266,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,96
267,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
268,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
269,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
270,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
271,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
272,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
273,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
274,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
275,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
276,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
277,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
278,Code 8,Sci-fi,,Jeff Chan,81,62
279,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
280,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
281,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
282,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
283,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
284,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
285,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
286,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
287,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
288,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
289,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
290,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
291,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
292,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
293,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
294,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
295,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
296,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
297,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
298,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
299,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
300,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
301,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
302,Dune,"Sci-fi, Adventure",,David Lynch,37,65
303,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
304,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
305,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
306,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
307,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
308,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
309,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
310,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
311,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
312,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
313,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
314,Ferrari,Drama,$18.5M,Michael Mann,72,74
315,May December,"Drama, Romance",,Todd Haynes,9,66
316,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
317,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
318,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
319,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
320,Upgraded,"Romance, Comedy",,Carlson Young,77,67
321,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
