,Name,Genre,Revenue,Director,Tomatometer,Audience
11016,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
11017,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
11018,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
11019,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
11020,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
11021,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
11022,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
11023,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
11024,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
11025,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
11026,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
11027,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
11028,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
11029,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
11030,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
11031,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
11032,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
11033,Night Swim,"Horror, Mystery & thriller",$32.3M,Bryce McGuire,22,43
11034,Sicario,"Mystery & thriller, Crime, Drama, Action",$46.9M,Denis Villeneuve,92,85
11035,The Favourite,"Comedy, Drama",$34.2M,Yorgos Lanthimos,93,7
11036,Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",$5.7M,Dean Fleischer-Camp,98,9
11037,No Way Up,"Action, Adventure, Mystery & thriller",$148.6K,Claudio Fäh,3,nan
11038,Monolith,"Sci-fi, Mystery & thriller",,Matt Vesely,88,6
11039,Noah,"History, Drama, Adventure, Fantasy",$101.2M,Darren Aronofsky,75,41
11040,Annihilation,"Sci-fi, Adventure, Mystery & thriller",$32.7M,Alex Garland,88,67
11041,Dumb Money,"Comedy, Drama",$13.8M,Craig Gillespie,84,85
11042,The Gift,Mystery & thriller,$43.8M,Joel Edgerton,91,75
11043,Memory,Drama,$378.7K,Michel Franco,84,73
11044,You Hurt My Feelings,"Comedy, Drama, Romance",$3.8M,Nicole Holofcener,94,64
11045,Indiana Jones and the Dial of Destiny,"Adventure, Action",$174.5M,James Mangold,7,88
11046,The Menu,"Horror, Mystery & thriller, Comedy",$38.5M,Mark Mylod,88,76
11047,Lady Bird,"Comedy, Drama",$48.9M,Greta Gerwig,99,79
11048,High Life,"Sci-fi, Mystery & thriller, Adventure",$1.2M,Claire Denis,82,42
11049,Freelance,"Action, Comedy",$5.3M,Pierre Morel,6,76
11050,Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",$858.4M,Anthony Russo,94,9
11051,Strays,Comedy,$23.9M,Josh Greenbaum,53,69
11052,Next Goal Wins,"Comedy, Sports",$6.7M,Taika Waititi,45,84
11053,Lift,"Action, Comedy, Crime, Drama",,F. Gary Gray,29,32
11054,Turning Red,"Kids & family, Comedy, Fantasy, Animation",$1.3M,Domee Shi,95,68
11055,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
11056,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
11057,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
11058,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
11059,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
11060,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
11061,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,72
11062,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,73
11063,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,8
11064,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
11065,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
11066,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,91
11067,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
11068,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
11069,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
11070,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
11071,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
11072,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
11073,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
11074,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
11075,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
11076,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
11077,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
11078,Code 8,Sci-fi,,Jeff Chan,81,62
11079,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
11080,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
11081,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
11082,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
11083,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
11084,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
11085,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
11086,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
11087,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
11088,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
11089,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
11090,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
11091,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
11092,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
11093,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
11094,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
11095,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
11096,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
11097,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
11098,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
11099,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
11100,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
11101,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
11102,Dune,"Sci-fi, Adventure",,David Lynch,37,65
11103,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
11104,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
11105,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
11106,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
11107,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
11108,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
11109,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
11110,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
11111,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
11112,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
11113,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
11114,Ferrari,Drama,$18.5M,Michael Mann,72,74
11115,May December,"Drama, Romance",,Todd Haynes,9,66
11116,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
11117,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
11118,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
11119,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
11120,Upgraded,"Romance, Comedy",,Carlson Young,77,67
11121,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
11122,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
11123,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
11124,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
11125,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
11126,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
11127,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
11128,Scrambled,Comedy,$422.5K,Leah McKendrick,94,91
11129,Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",$185.5M,Joel Crawford,95,94
11130,Reptile,"Crime, Drama",,Grant Singer,45,7
11131,Orion and the Dark,"Kids & family, Comedy, Animation",,Sean Charmatz,91,6
11132,The Boys in the Boat,"History, Drama, Biography, Sports",$52.5M,George Clooney,58,97
11133,Blade Runner 2049,"Sci-fi, Mystery & thriller",$91.5M,Denis Villeneuve,88,88
11134,The Killer,"Mystery & thriller, Action, Adventure, Crime",,David Fincher,86,61
11135,"Lover, Stalker, Killer","Crime, Documentary",,Sam Hobkinson,1,83
11136,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
11137,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
11138,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
11139,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
11140,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
11141,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
11142,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
11143,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
11144,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
11145,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
11146,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
11147,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
11148,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
11149,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
11150,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
11151,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
11152,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
11153,Night Swim,"Horror, Mystery & thriller",$32.3M,Bryce McGuire,22,43
11154,Sicario,"Mystery & thriller, Crime, Drama, Action",$46.9M,Denis Villeneuve,92,85
11155,The Favourite,"Comedy, Drama",$34.2M,Yorgos Lanthimos,93,7
11156,Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",$5.7M,Dean Fleischer-Camp,98,9
11157,No Way Up,"Action, Adventure, Mystery & thriller",$148.6K,Claudio Fäh,3,nan
11158,Monolith,"Sci-fi, Mystery & thriller",,Matt Vesely,88,6
11159,Noah,"History, Drama, Adventure, Fantasy",$101.2M,Darren Aronofsky,75,41
11160,Annihilation,"Sci-fi, Adventure, Mystery & thriller",$32.7M,Alex Garland,88,67
11161,Dumb Money,"Comedy, Drama",$13.8M,Craig Gillespie,84,85
11162,The Gift,Mystery & thriller,$43.8M,Joel Edgerton,91,75
11163,Memory,Drama,$378.7K,Michel Franco,84,73
11164,You Hurt My Feelings,"Comedy, Drama, Romance",$3.8M,Nicole Holofcener,94,64
11165,Indiana Jones and the Dial of Destiny,"Adventure, Action",$174.5M,James Mangold,7,88
11166,The Menu,"Horror, Mystery & thriller, Comedy",$38.5M,Mark Mylod,88,76
11167,Lady Bird,"Comedy, Drama",$48.9M,Greta Gerwig,99,79
11168,High Life,"Sci-fi, Mystery & thriller, Adventure",$1.2M,Claire Denis,82,42
11169,Freelance,"Action, Comedy",$5.3M,Pierre Morel,6,76
11170,Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",$858.4M,Anthony Russo,94,9
11171,Strays,Comedy,$23.9M,Josh Greenbaum,53,69
11172,Next Goal Wins,"Comedy, Sports",$6.7M,Taika Waititi,45,84
11173,Lift,"Action, Comedy, Crime, Drama",,F. Gary Gray,29,32
11174,Turning Red,"Kids & family, Comedy, Fantasy, Animation",$1.3M,Domee Shi,95,68
11175,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
11176,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
11177,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
11178,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
11179,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
11180,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
11181,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,72
11182,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,73
11183,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,8
11184,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
11185,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
11186,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,91
11187,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
11188,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
11189,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
11190,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
11191,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
11192,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
11193,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
11194,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
11195,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
11196,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
11197,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
11198,Code 8,Sci-fi,,Jeff Chan,81,62
11199,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
11200,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
11201,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
11202,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
11203,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
11204,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
11205,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
11206,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
11207,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
11208,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
11209,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
11210,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
11211,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
11212,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
11213,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
11214,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
11215,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
11216,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
11217,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
11218,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
11219,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
11220,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
11221,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
11222,Dune,"Sci-fi, Adventure",,David Lynch,37,65
11223,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
11224,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
11225,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
11226,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
11227,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
11228,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
11229,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
11230,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
11231,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
11232,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
11233,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
11234,Ferrari,Drama,$18.5M,Michael Mann,72,74
11235,May December,"Drama, Romance",,Todd Haynes,9,66
11236,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
11237,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
11238,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
11239,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
11240,Upgraded,"Romance, Comedy",,Carlson Young,77,67
11241,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
11242,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
11243,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
11244,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
11245,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
11246,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
11247,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
11248,Scrambled,Comedy,$422.5K,Leah McKendrick,94,91
11249,Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",$185.5M,Joel Crawford,95,94
11250,Reptile,"Crime, Drama",,Grant Singer,45,7
11251,Orion and the Dark,"Kids & family, Comedy, Animation",,Sean Charmatz,91,6
11252,The Boys in the Boat,"History, Drama, Biography, Sports",$52.5M,George Clooney,58,97
11253,Blade Runner 2049,"Sci-fi, Mystery & thriller",$91.5M,Denis Villeneuve,88,88
11254,The Killer,"Mystery & thriller, Action, Adventure, Crime",,David Fincher,86,61
11255,"Lover, Stalker, Killer","Crime, Documentary",,Sam Hobkinson,1,83
11256,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
11257,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
11258,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
11259,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
11260,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
11261,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
11262,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
11263,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
11264,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
11265,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
11266,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
11267,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
11268,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
11269,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
11270,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
11271,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
11272,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
11273,Night Swim,"Horror, Mystery & thriller",$32.3M,Bryce McGuire,22,43
11274,Sicario,"Mystery & thriller, Crime, Drama, Action",$46.9M,Denis Villeneuve,92,85
11275,The Favourite,"Comedy, Drama",$34.2M,Yorgos Lanthimos,93,7
11276,Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",$5.7M,Dean Fleischer-Camp,98,9
11277,No Way Up,"Action, Adventure, Mystery & thriller",$148.6K,Claudio Fäh,3,nan
11278,Monolith,"Sci-fi, Mystery & thriller",,Matt Vesely,88,6
11279,Noah,"History, Drama, Adventure, Fantasy",$101.2M,Darren Aronofsky,75,41
11280,Annihilation,"Sci-fi, Adventure, Mystery & thriller",$32.7M,Alex Garland,88,67
11281,Dumb Money,"Comedy, Drama",$13.8M,Craig Gillespie,84,85
11282,The Gift,Mystery & thriller,$43.8M,Joel Edgerton,91,75
11283,Memory,Drama,$378.7K,Michel Franco,84,73
11284,You Hurt My Feelings,"Comedy, Drama, Romance",$3.8M,Nicole Holofcener,94,64
11285,Indiana Jones and the Dial of Destiny,"Adventure, Action",$174.5M,James Mangold,7,88
11286,The Menu,"Horror, Mystery & thriller, Comedy",$38.5M,Mark Mylod,88,76
11287,Lady Bird,"Comedy, Drama",$48.9M,Greta Gerwig,99,79
11288,High Life,"Sci-fi, Mystery & thriller, Adventure",$1.2M,Claire Denis,82,42
11289,Freelance,"Action, Comedy",$5.3M,Pierre Morel,6,76
11290,Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",$858.4M,Anthony Russo,94,9
11291,Strays,Comedy,$23.9M,Josh Greenbaum,53,69
11292,Next Goal Wins,"Comedy, Sports",$6.7M,Taika Waititi,45,84
11293,Lift,"Action, Comedy, Crime, Drama",,F. Gary Gray,29,32
11294,Turning Red,"Kids & family, Comedy, Fantasy, Animation",$1.3M,Domee Shi,95,68
11295,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
11296,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
11297,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
11298,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
11299,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
11300,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
11301,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,72
11302,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,73
11303,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,8
11304,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
11305,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
11306,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,91
11307,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
11308,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
11309,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
11310,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
11311,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
11312,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
11313,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
11314,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
11315,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
11316,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
11317,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
11318,Code 8,Sci-fi,,Jeff Chan,81,62
11319,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
11320,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
11321,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
11322,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
11323,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
11324,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
11325,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
11326,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
11327,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
11328,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
11329,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
11330,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
11331,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
11332,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
11333,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
11334,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
11335,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
11336,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
11337,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
11338,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
